,primary_sector,count,sum,category_list,main_sector,value
343,Mechanical Solutions,1,400500.0,Mechanical Solutions,Cleantech / Semiconductors,1
344,Media,39,281564375.0,Media,Entertainment,1
345,Medical,48,463503914.0,Medical,Health,1
346,Medical Devices,108,594893805.0,Medical Devices,Health,1
347,Meeting Software,1,15000000.0,Meeting Software,"News, Search and Messaging",1
348,Mens Specific,1,4500000.0,Mens Specific,Health,1
349,Messaging,155,1171655070.0,Messaging,"News, Search and Messaging",1
350,Mining Technologies,1,12233209.0,Mining Technologies,Cleantech / Semiconductors,1
351,Mobile,1142,10950985872.0,Mobile,"News, Search and Messaging",1
352,Mobile Commerce,8,145944560.0,Mobile Commerce,"Social, Finance, Analytics, Advertising",1
353,Mobile Devices,3,23021057.0,Mobile Devices,"News, Search and Messaging",1
354,Mobile Enterprise,2,19540000.0,Mobile Enterprise,"News, Search and Messaging",1
355,Mobile Games,4,26292310.0,Mobile Games,Entertainment,1
356,Mobile Health,4,12500000.0,Mobile Health,Health,1
357,Mobile Infrastructure,2,62000000.0,Mobile Infrastructure,Manufacturing,1
358,Mobile Payments,6,41443344.0,Mobile Payments,"Social, Finance, Analytics, Advertising",1
359,Mobile Security,8,401300000.0,Mobile Security,Others,1
360,Mobile Shopping,0,0.0,Mobile Shopping,"Social, Finance, Analytics, Advertising",1
361,Mobility,4,18678407.0,Mobility,Others,1
362,Music,102,531256385.0,Music,Entertainment,1
363,Music Venues,1,525000.0,Music Venues,Entertainment,1
364,Network Security,34,302934383.0,Network Security,Others,1
365,Networking,89,1474335600.0,Networking,Others,1
366,Neuroscience,0,0.0,Neuroscience,Health,1
367,New Technologies,2,15572999.0,New Technologies,Manufacturing,1
368,News,122,1141192903.0,News,"News, Search and Messaging",1
369,Non Profit,3,67435830.0,Non Profit,Others,1
370,Non-Tech,5,777000.0,Non-Tech,Others,1
371,Nonprofits,37,548786801.0,Nonprofits,Others,1
372,Nutrition,4,15427723.0,Nutrition,Health,1
373,Oil,5,33265000.0,Oil,Others,1
374,Oil & Gas,10,93760806.0,Oil & Gas,Others,1
375,Online Gaming,1,1600000.0,Online Gaming,Entertainment,1
376,Online Identity,1,7000000.0,Online Identity,Others,1
377,Online Rental,5,23574998.0,Online Rental,"News, Search and Messaging",1
378,Online Reservations,1,110000.0,Online Reservations,"News, Search and Messaging",1
379,Online Scheduling,1,25000000.0,Online Scheduling,"News, Search and Messaging",1
380,Online Shopping,4,5657000.0,Online Shopping,"News, Search and Messaging",1
381,Online Travel,3,4800000.0,Online Travel,"News, Search and Messaging",1
382,Open Source,19,171751875.0,Open Source,Others,1
383,Opinions,4,6941502.0,Opinions,Others,1
384,Optical Communications,8,139572727.0,Optical Communications,Manufacturing,1
385,Optimization,7,36600000.0,Optimization,Others,1
386,Organic Food,2,75000000.0,Organic Food,Health,1
387,Outdoors,1,100000.0,Outdoors,Health,1
388,Outsourcing,10,126760000.0,Outsourcing,Others,1
389,P2P Money Transfer,1,1154995.0,P2P Money Transfer,"Social, Finance, Analytics, Advertising",1
390,PaaS,3,14270000.0,PaaS,"Social, Finance, Analytics, Advertising",1
391,Parking,4,35000000.0,Parking,Others,1
392,Payments,15,299890551.0,Payments,"Social, Finance, Analytics, Advertising",1
393,Pets,20,143322047.0,Pets,Health,1
394,Pharmaceuticals,97,1380660781.0,Pharmaceuticals,Health,1
395,Photo Editing,3,19000000.0,Photo Editing,Entertainment,1
396,Photo Sharing,2,6746785.0,Photo Sharing,Entertainment,1
397,Photography,51,424179877.0,Photography,Entertainment,1
398,Physical Security,1,13000000.0,Physical Security,Others,1
399,Physicians,7,90750000.0,Physicians,Health,1
400,Point of Sale,2,2571352.0,Point of Sale,Others,1
401,Politics,2,46900000.0,Politics,Others,1
402,Polling,2,3382499.0,Polling,Others,1
